sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-17 22:53:43,27.78, 105.50, 79
2024-12-17 22:53:48,27.75, 105.69, 79
2024-12-17 22:53:53,27.78, 105.56, 79
2024-12-17 22:53:58,27.78, 105.50, 78
2024-12-17 22:54:03,27.78, 105.25, 80
2024-12-17 22:54:08,27.78, 105.25, 79
2024-12-17 22:54:13,27.78, 105.00, 85
2024-12-17 22:54:18,27.75, 105.12, 78
2024-12-17 22:54:23,27.78, 105.31, 79
2024-12-17 22:54:29,27.75, 105.31, 80
2024-12-17 22:54:34,27.75, 105.25, 80
2024-12-17 22:54:39,27.78, 105.12, 82
2024-12-17 22:54:44,27.78, 105.50, 86
2024-12-17 22:54:49,27.78, 105.31, 81
2024-12-17 22:54:54,27.75, 105.19, 80
2024-12-17 22:54:59,27.75, 105.19, 80
2024-12-17 22:55:04,27.75, 105.12, 80
2024-12-17 22:55:09,27.75, 105.56, 82
2024-12-17 22:55:14,27.78, 105.44, 81
2024-12-17 22:55:19,27.78, 106.06, 81
2024-12-17 22:55:24,27.78, 106.56, 82
2024-12-17 22:55:29,27.78, 106.12, 82
2024-12-17 22:55:34,27.75, 105.75, 82
2024-12-17 22:55:39,27.75, 105.56, 81
2024-12-17 22:55:44,27.69, 105.31, 82
2024-12-17 22:55:49,27.72, 105.19, 81
2024-12-17 22:55:54,27.75, 105.12, 81
2024-12-17 22:55:59,27.72, 105.19, 81
2024-12-17 22:56:04,27.72, 105.25, 80
2024-12-17 22:56:10,27.72, 105.31, 79
2024-12-17 22:56:15,27.69, 105.25, 80
2024-12-17 22:56:20,27.72, 105.19, 79
2024-12-17 22:56:25,27.75, 105.31, 78
2024-12-17 22:56:30,27.72, 105.31, 80
2024-12-17 22:56:35,27.69, 105.25, 78
2024-12-17 22:56:40,27.66, 105.31, 78
2024-12-17 22:56:45,27.72, 105.25, 78
2024-12-17 22:56:50,27.72, 105.31, 78
2024-12-17 22:56:55,27.66, 105.31, 79
2024-12-17 22:57:00,27.66, 105.44, 77
2024-12-17 22:57:05,27.69, 105.44, 78
2024-12-17 22:57:10,27.66, 105.31, 77
2024-12-17 22:57:15,27.66, 105.37, 78
2024-12-17 22:57:20,27.66, 105.37, 77
2024-12-17 22:57:25,27.62, 105.50, 78
2024-12-17 22:57:30,27.62, 105.44, 76
2024-12-17 22:57:35,27.66, 105.44, 78
2024-12-17 22:57:40,27.62, 105.62, 76
2024-12-17 22:57:45,27.69, 105.62, 77
2024-12-17 22:57:50,27.69, 105.56, 76
