sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-19 21:37:43,27.66, 105.62, 50
2024-12-19 21:37:48,27.66, 105.25, 51
2024-12-19 21:37:53,27.66, 105.06, 51
2024-12-19 21:37:59,27.62, 104.81, 51
2024-12-19 21:38:04,27.66, 104.75, 51
2024-12-19 21:38:09,27.62, 104.62, 51
2024-12-19 21:38:14,27.59, 104.50, 50
2024-12-19 21:38:19,27.66, 104.44, 51
2024-12-19 21:38:24,27.62, 104.37, 51
2024-12-19 21:38:29,27.66, 104.31, 51
2024-12-19 21:38:34,27.66, 104.31, 50
2024-12-19 21:38:39,27.62, 104.19, 50
2024-12-19 21:38:44,27.62, 104.37, 50
2024-12-19 21:38:49,27.66, 104.25, 50
2024-12-19 21:38:54,27.66, 104.31, 50
2024-12-19 21:38:59,27.62, 104.19, 50
2024-12-19 21:39:04,27.66, 104.19, 50
2024-12-19 21:39:09,27.59, 104.25, 51
2024-12-19 21:39:14,27.59, 104.50, 52
2024-12-19 21:39:19,27.62, 104.37, 50
2024-12-19 21:39:24,27.59, 104.37, 50
2024-12-19 21:39:29,27.59, 104.37, 50
2024-12-19 21:39:34,27.59, 104.31, 50
2024-12-19 21:39:40,27.59, 104.44, 50
2024-12-19 21:39:45,27.59, 104.44, 51
2024-12-19 21:39:50,27.59, 104.37, 50
2024-12-19 21:39:55,27.62, 104.50, 50
2024-12-19 21:40:00,27.56, 104.50, 50
2024-12-19 21:40:05,27.59, 104.56, 50
2024-12-19 21:40:10,27.59, 104.50, 50
2024-12-19 21:40:15,27.59, 104.37, 51
2024-12-19 21:40:20,27.56, 104.37, 51
2024-12-19 21:40:25,27.66, 104.31, 50
2024-12-19 21:40:30,27.59, 104.25, 50
2024-12-19 21:40:35,27.59, 104.12, 51
2024-12-19 21:40:40,27.59, 104.12, 50
2024-12-19 21:40:45,27.59, 104.06, 51
2024-12-19 21:40:50,27.59, 104.06, 51
2024-12-19 21:40:55,27.59, 104.25, 50
2024-12-19 21:41:00,27.59, 104.25, 50
2024-12-19 21:41:05,27.59, 104.44, 50
2024-12-19 21:41:10,27.59, 104.44, 50
2024-12-19 21:41:15,27.59, 104.37, 50
2024-12-19 21:41:20,27.59, 104.37, 51
2024-12-19 21:41:26,27.59, 104.25, 50
2024-12-19 21:41:31,27.59, 104.00, 50
2024-12-19 21:41:36,27.59, 103.87, 50
2024-12-19 21:41:41,27.59, 104.06, 51
