sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-21 22:49:43,25.22, 99.94, 84
2024-12-21 22:49:48,25.25, 99.81, 85
2024-12-21 22:49:53,25.22, 99.81, 85
2024-12-21 22:49:58,25.22, 99.62, 85
2024-12-21 22:50:03,25.19, 99.44, 84
2024-12-21 22:50:08,25.22, 99.31, 84
2024-12-21 22:50:13,25.22, 99.25, 84
2024-12-21 22:50:18,25.19, 99.19, 84
2024-12-21 22:50:23,25.22, 99.37, 84
2024-12-21 22:50:29,25.22, 99.44, 84
2024-12-21 22:50:34,25.22, 99.44, 83
2024-12-21 22:50:39,25.19, 99.44, 83
2024-12-21 22:50:44,25.19, 99.44, 83
2024-12-21 22:50:49,25.19, 99.44, 83
2024-12-21 22:50:54,25.19, 99.44, 82
2024-12-21 22:50:59,25.16, 99.31, 83
2024-12-21 22:51:04,25.19, 99.37, 83
2024-12-21 22:51:09,25.12, 99.31, 83
2024-12-21 22:51:14,25.16, 99.37, 82
2024-12-21 22:51:19,25.16, 99.50, 84
2024-12-21 22:51:24,25.16, 99.69, 83
2024-12-21 22:51:29,25.16, 99.69, 83
2024-12-21 22:51:34,25.16, 99.56, 83
2024-12-21 22:51:39,25.19, 99.62, 82
2024-12-21 22:51:44,25.16, 99.69, 84
2024-12-21 22:51:49,25.16, 99.69, 83
2024-12-21 22:51:54,25.19, 99.69, 83
2024-12-21 22:51:59,25.12, 99.75, 83
2024-12-21 22:52:04,25.16, 99.81, 84
2024-12-21 22:52:10,25.12, 99.87, 84
2024-12-21 22:52:15,25.12, 99.75, 84
2024-12-21 22:52:20,25.16, 99.75, 84
2024-12-21 22:52:25,25.16, 99.75, 83
2024-12-21 22:52:30,25.16, 99.69, 83
2024-12-21 22:52:35,25.16, 99.50, 83
2024-12-21 22:52:40,25.12, 99.50, 83
2024-12-21 22:52:45,25.16, 99.50, 83
2024-12-21 22:52:50,25.16, 99.50, 83
2024-12-21 22:52:55,25.16, 99.56, 83
2024-12-21 22:53:00,25.12, 99.62, 82
2024-12-21 22:53:05,25.12, 99.62, 82
2024-12-21 22:53:10,25.12, 99.69, 84
2024-12-21 22:53:15,25.16, 99.75, 83
2024-12-21 22:53:20,25.12, 99.81, 82
2024-12-21 22:53:25,25.16, 99.75, 82
2024-12-21 22:53:30,25.12, 99.81, 83
2024-12-21 22:53:35,25.16, 99.87, 84
2024-12-21 22:53:40,25.12, 99.81, 83
2024-12-21 22:53:45,25.16, 99.81, 83
2024-12-21 22:53:51,25.19, 99.87, 83
2024-12-21 22:53:56,25.16, 99.87, 83
2024-12-21 22:54:01,25.16, 99.87, 83
2024-12-21 22:54:06,25.16, 99.94, 82
2024-12-21 22:54:11,25.16, 99.94, 82
2024-12-21 22:54:16,25.16, 100.12, 82
2024-12-21 22:54:21,25.12, 100.06, 83
2024-12-21 22:54:26,25.19, 100.12, 84
2024-12-21 22:54:31,25.16, 100.06, 83
2024-12-21 22:54:36,25.19, 100.19, 83
2024-12-21 22:54:41,25.19, 100.25, 84
2024-12-21 22:54:46,25.22, 100.19, 83
2024-12-21 22:54:51,25.19, 100.19, 83
2024-12-21 22:54:56,25.19, 100.19, 83
2024-12-21 22:55:01,25.19, 100.12, 83
2024-12-21 22:55:06,25.19, 100.12, 83
2024-12-21 22:55:11,25.16, 100.19, 83
2024-12-21 22:55:16,25.16, 100.12, 83
2024-12-21 22:55:21,25.16, 100.06, 83
2024-12-21 22:55:26,25.12, 100.00, 83
2024-12-21 22:55:32,25.16, 99.94, 83
2024-12-21 22:55:37,25.16, 99.75, 84
2024-12-21 22:55:42,25.19, 99.87, 82
2024-12-21 22:55:47,25.16, 99.81, 82
2024-12-21 22:55:52,25.16, 99.87, 82
2024-12-21 22:55:57,25.16, 99.81, 82
2024-12-21 22:56:02,25.16, 99.75, 83
2024-12-21 22:56:07,25.12, 99.56, 83
2024-12-21 22:56:12,25.12, 99.56, 83
2024-12-21 22:56:17,25.12, 99.56, 83
2024-12-21 22:56:22,25.12, 99.56, 83
2024-12-21 22:56:27,25.16, 99.62, 84
2024-12-21 22:56:32,25.16, 99.62, 83
2024-12-21 22:56:37,25.16, 99.56, 82
2024-12-21 22:56:42,25.16, 99.69, 83
2024-12-21 22:56:47,25.16, 99.75, 82
2024-12-21 22:56:52,25.16, 99.81, 83
2024-12-21 22:56:57,25.16, 99.75, 82
2024-12-21 22:57:02,25.16, 99.87, 84
2024-12-21 22:57:07,25.16, 99.75, 82
2024-12-21 22:57:13,25.12, 99.69, 83
2024-12-21 22:57:18,25.16, 99.62, 83
2024-12-21 22:57:23,25.16, 99.69, 82
2024-12-21 22:57:28,25.12, 99.69, 82
2024-12-21 22:57:33,25.12, 99.81, 82
2024-12-21 22:57:38,25.12, 99.81, 82
2024-12-21 22:57:43,25.16, 99.75, 83
2024-12-21 22:57:48,25.12, 99.75, 84
2024-12-21 22:57:53,25.12, 99.69, 84
2024-12-21 22:57:58,25.12, 99.81, 83
2024-12-21 22:58:03,25.16, 99.81, 83
2024-12-21 22:58:08,25.16, 99.81, 84
2024-12-21 22:58:13,25.16, 99.87, 84
2024-12-21 22:58:18,25.16, 99.81, 83
2024-12-21 22:58:23,25.16, 99.81, 84
2024-12-21 22:58:28,25.16, 99.81, 83
2024-12-21 22:58:33,25.16, 99.87, 83
2024-12-21 22:58:38,25.16, 99.87, 84
2024-12-21 22:58:44,25.16, 99.94, 84
2024-12-21 22:58:49,25.16, 100.00, 84
2024-12-21 22:58:54,25.16, 99.94, 84
2024-12-21 22:58:59,25.16, 100.00, 84
2024-12-21 22:59:04,25.16, 99.94, 84
2024-12-21 22:59:09,25.16, 100.00, 84
2024-12-21 22:59:14,25.16, 100.12, 84
2024-12-21 22:59:19,25.19, 100.19, 84
2024-12-21 22:59:24,25.16, 100.19, 83
2024-12-21 22:59:29,25.16, 100.06, 83
2024-12-21 22:59:34,25.16, 100.06, 83
2024-12-21 22:59:39,25.19, 99.94, 83
2024-12-21 22:59:44,25.16, 100.00, 83
2024-12-21 22:59:49,25.12, 99.94, 83
2024-12-21 22:59:54,25.12, 99.87, 82
2024-12-21 22:59:59,25.12, 99.87, 82
2024-12-21 23:00:04,25.12, 99.75, 83
2024-12-21 23:00:09,25.16, 99.75, 83
2024-12-21 23:00:14,25.16, 99.69, 84
2024-12-21 23:00:19,25.16, 99.69, 82
2024-12-21 23:00:25,25.16, 99.69, 83
2024-12-21 23:00:30,25.12, 99.62, 83
2024-12-21 23:00:35,25.16, 99.62, 82
2024-12-21 23:00:40,25.16, 99.62, 84
2024-12-21 23:00:45,25.16, 99.62, 82
2024-12-21 23:00:50,25.16, 99.62, 84
2024-12-21 23:00:55,25.16, 99.56, 82
2024-12-21 23:01:00,25.16, 99.62, 84
2024-12-21 23:01:05,25.16, 99.62, 82
2024-12-21 23:01:10,25.12, 99.69, 83
2024-12-21 23:01:15,25.19, 99.69, 82
2024-12-21 23:01:20,25.19, 99.62, 83
2024-12-21 23:01:25,25.16, 99.62, 82
2024-12-21 23:01:30,25.19, 99.75, 83
2024-12-21 23:01:35,25.19, 99.75, 82
2024-12-21 23:01:40,25.22, 99.75, 83
2024-12-21 23:01:45,25.22, 99.81, 83
2024-12-21 23:01:50,25.19, 99.81, 82
2024-12-21 23:01:55,25.22, 100.00, 83
2024-12-21 23:02:00,25.22, 100.06, 82
2024-12-21 23:02:06,25.22, 100.12, 83
2024-12-21 23:02:11,25.19, 100.19, 82
2024-12-21 23:02:16,25.22, 100.25, 83
2024-12-21 23:02:21,25.19, 100.37, 83
2024-12-21 23:02:26,25.22, 100.31, 82
2024-12-21 23:02:31,25.22, 100.37, 83
2024-12-21 23:02:36,25.19, 100.44, 84
2024-12-21 23:02:41,25.19, 100.50, 83
2024-12-21 23:02:46,25.19, 100.44, 83
2024-12-21 23:02:51,25.19, 100.37, 84
2024-12-21 23:02:56,25.19, 100.31, 83
2024-12-21 23:03:01,25.16, 100.25, 83
2024-12-21 23:03:06,25.22, 100.31, 83
2024-12-21 23:03:11,25.22, 100.25, 84
2024-12-21 23:03:16,25.22, 100.25, 83
2024-12-21 23:03:21,25.19, 100.19, 82
2024-12-21 23:03:26,25.19, 100.12, 83
2024-12-21 23:03:31,25.16, 100.12, 84
2024-12-21 23:03:36,25.19, 100.19, 84
2024-12-21 23:03:41,25.19, 100.25, 84
2024-12-21 23:03:47,25.19, 100.12, 84
2024-12-21 23:03:52,25.19, 100.00, 84
2024-12-21 23:03:57,25.19, 99.87, 83
2024-12-21 23:04:02,25.22, 99.87, 83
2024-12-21 23:04:07,25.19, 99.69, 82
2024-12-21 23:04:12,25.22, 99.75, 82
2024-12-21 23:04:17,25.19, 99.75, 82
2024-12-21 23:04:22,25.19, 99.69, 83
2024-12-21 23:04:27,25.16, 99.62, 83
2024-12-21 23:04:32,25.19, 99.62, 82
2024-12-21 23:04:37,25.19, 99.69, 82
2024-12-21 23:04:42,25.16, 99.69, 83
2024-12-21 23:04:47,25.16, 99.69, 84
2024-12-21 23:04:52,25.12, 99.75, 82
2024-12-21 23:04:57,25.16, 99.94, 82
2024-12-21 23:05:02,25.16, 100.06, 83
2024-12-21 23:05:07,25.16, 100.06, 83
2024-12-21 23:05:13,25.16, 100.06, 83
2024-12-21 23:05:18,25.16, 99.87, 83
2024-12-21 23:05:23,25.16, 99.81, 83
2024-12-21 23:05:28,25.16, 99.81, 84
2024-12-21 23:05:33,25.12, 99.75, 83
2024-12-21 23:05:38,25.16, 99.87, 82
2024-12-21 23:05:43,25.16, 100.06, 83
2024-12-21 23:05:48,25.16, 100.06, 84
2024-12-21 23:05:53,25.16, 100.06, 83
2024-12-21 23:05:58,25.16, 100.06, 84
2024-12-21 23:06:03,25.16, 100.00, 83
2024-12-21 23:06:08,25.16, 100.00, 83
2024-12-21 23:06:13,25.16, 100.06, 84
2024-12-21 23:06:18,25.16, 100.06, 83
2024-12-21 23:06:23,25.12, 100.19, 83
2024-12-21 23:06:28,25.09, 100.25, 84
2024-12-21 23:06:33,25.12, 100.19, 84
2024-12-21 23:06:38,25.12, 100.25, 83
2024-12-21 23:06:43,25.16, 100.37, 84
2024-12-21 23:06:48,25.16, 100.50, 83
2024-12-21 23:06:53,25.16, 100.44, 84
2024-12-21 23:06:59,25.16, 100.44, 83
2024-12-21 23:07:04,25.16, 100.44, 84
2024-12-21 23:07:09,25.19, 100.37, 84
