sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-20 22:18:54,26.62, 106.81, 50
2024-12-20 22:18:59,26.62, 106.87, 50
2024-12-20 22:19:04,26.62, 107.37, 50
2024-12-20 22:19:09,26.62, 107.62, 50
2024-12-20 22:19:14,26.66, 107.12, 50
2024-12-20 22:19:19,26.62, 106.87, 50
2024-12-20 22:19:25,26.62, 106.75, 50
2024-12-20 22:19:30,26.62, 106.75, 50
2024-12-20 22:19:35,26.66, 106.81, 50
2024-12-20 22:19:40,26.66, 106.94, 49
2024-12-20 22:19:45,26.62, 106.81, 49
2024-12-20 22:19:50,26.62, 106.56, 49
2024-12-20 22:19:55,26.66, 106.44, 50
2024-12-20 22:20:00,26.66, 106.25, 49
2024-12-20 22:20:05,26.66, 106.12, 50
2024-12-20 22:20:10,26.69, 106.12, 50
2024-12-20 22:20:15,26.66, 106.12, 49
2024-12-20 22:20:20,26.66, 105.87, 50
2024-12-20 22:20:25,26.72, 105.75, 50
2024-12-20 22:20:30,26.66, 106.06, 50
2024-12-20 22:20:35,26.72, 105.81, 49
2024-12-20 22:20:40,26.69, 105.81, 50
2024-12-20 22:20:45,26.66, 105.87, 49
2024-12-20 22:20:50,26.72, 105.81, 50
2024-12-20 22:20:55,26.69, 105.94, 49
2024-12-20 22:21:01,26.69, 106.06, 51
2024-12-20 22:21:06,26.69, 105.87, 49
2024-12-20 22:21:11,26.72, 105.87, 50
2024-12-20 22:21:16,26.69, 106.00, 50
2024-12-20 22:21:21,26.69, 105.87, 50
2024-12-20 22:21:26,26.72, 105.75, 50
2024-12-20 22:21:31,26.69, 106.00, 50
2024-12-20 22:21:36,26.69, 106.00, 50
2024-12-20 22:21:41,26.72, 105.87, 50
2024-12-20 22:21:46,26.72, 105.75, 50
2024-12-20 22:21:51,26.69, 105.81, 50
2024-12-20 22:21:56,26.72, 105.75, 50
2024-12-20 22:22:01,26.69, 105.69, 49
2024-12-20 22:22:06,26.72, 105.81, 50
2024-12-20 22:22:11,26.75, 105.94, 51
2024-12-20 22:22:16,26.72, 105.87, 49
2024-12-20 22:22:21,26.75, 106.12, 50
2024-12-20 22:22:26,26.72, 106.00, 50
2024-12-20 22:22:31,26.72, 105.94, 50
2024-12-20 22:22:36,26.72, 105.87, 51
2024-12-20 22:22:41,26.75, 105.75, 49
2024-12-20 22:22:47,26.75, 106.00, 51
2024-12-20 22:22:52,26.72, 105.81, 50
2024-12-20 22:22:57,26.72, 106.00, 50
2024-12-20 22:23:02,26.72, 106.06, 50
2024-12-20 22:23:07,26.69, 106.44, 50
2024-12-20 22:23:12,26.72, 106.44, 51
2024-12-20 22:23:17,26.69, 106.50, 50
2024-12-20 22:23:22,26.72, 107.44, 50
2024-12-20 22:23:27,26.72, 107.37, 51
2024-12-20 22:23:32,26.69, 107.25, 50
