sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-23 23:40:36,26.81, 103.31, 7
2024-12-23 23:40:41,26.78, 103.37, 7
2024-12-23 23:40:46,26.81, 103.31, 6
2024-12-23 23:40:51,26.81, 103.12, 6
2024-12-23 23:40:56,26.78, 103.19, 5
2024-12-23 23:41:01,26.78, 102.94, 6
2024-12-23 23:41:06,26.75, 102.87, 5
2024-12-23 23:41:11,26.72, 102.94, 6
2024-12-23 23:41:16,26.72, 102.94, 5
2024-12-23 23:41:22,26.69, 102.81, 6
2024-12-23 23:41:27,26.69, 102.94, 6
2024-12-23 23:41:32,26.69, 102.81, 6
2024-12-23 23:41:37,26.66, 102.81, 6
2024-12-23 23:41:42,26.66, 102.81, 6
2024-12-23 23:41:47,26.59, 102.75, 5
2024-12-23 23:41:52,26.59, 102.94, 6
2024-12-23 23:41:57,26.59, 103.12, 6
2024-12-23 23:42:02,26.59, 103.00, 5
2024-12-23 23:42:07,26.59, 102.94, 6
2024-12-23 23:42:12,26.59, 103.00, 7
2024-12-23 23:42:17,26.56, 103.12, 7
2024-12-23 23:42:22,26.53, 103.31, 7
2024-12-23 23:42:27,26.50, 103.25, 7
2024-12-23 23:42:32,26.53, 103.44, 7
2024-12-23 23:42:37,26.50, 103.50, 5
2024-12-23 23:42:42,26.50, 103.44, 5
2024-12-23 23:42:47,26.50, 103.50, 6
2024-12-23 23:42:52,26.47, 103.50, 5
2024-12-23 23:42:58,26.50, 103.37, 6
2024-12-23 23:43:03,26.47, 103.44, 7
2024-12-23 23:43:08,26.47, 103.50, 7
2024-12-23 23:43:13,26.47, 103.50, 6
2024-12-23 23:43:18,26.47, 103.62, 5
2024-12-23 23:43:23,26.47, 103.56, 6
2024-12-23 23:43:28,26.44, 103.56, 6
2024-12-23 23:43:33,26.47, 103.56, 7
2024-12-23 23:43:38,26.44, 103.69, 6
2024-12-23 23:43:43,26.44, 103.75, 5
2024-12-23 23:43:48,26.44, 103.69, 6
2024-12-23 23:43:53,26.44, 103.69, 7
2024-12-23 23:43:58,26.41, 103.50, 6
2024-12-23 23:44:03,26.41, 103.62, 6
2024-12-23 23:44:08,26.41, 103.62, 5
2024-12-23 23:44:13,26.37, 103.81, 6
2024-12-23 23:44:18,26.41, 103.75, 6
2024-12-23 23:44:23,26.37, 103.87, 6
2024-12-23 23:44:28,26.41, 103.69, 6
2024-12-23 23:44:33,26.37, 103.69, 5
2024-12-23 23:44:39,26.41, 103.81, 5
2024-12-23 23:44:44,26.41, 103.50, 6
2024-12-23 23:44:49,26.41, 103.81, 7
2024-12-23 23:44:54,26.37, 103.87, 6
2024-12-23 23:44:59,26.37, 103.87, 5
2024-12-23 23:45:04,26.34, 103.87, 6
2024-12-23 23:45:09,26.34, 103.81, 6
2024-12-23 23:45:14,26.37, 103.94, 6
2024-12-23 23:45:19,26.34, 103.94, 5
2024-12-23 23:45:24,26.34, 103.87, 5
2024-12-23 23:45:29,26.31, 103.94, 5
2024-12-23 23:45:34,26.34, 104.00, 6
2024-12-23 23:45:39,26.34, 104.06, 6
2024-12-23 23:45:44,26.34, 104.06, 6
2024-12-23 23:45:49,26.34, 104.00, 6
2024-12-23 23:45:54,26.31, 104.06, 5
2024-12-23 23:45:59,26.31, 104.25, 5
2024-12-23 23:46:04,26.28, 104.12, 6
2024-12-23 23:46:09,26.31, 104.12, 7
2024-12-23 23:46:15,26.31, 104.31, 5
2024-12-23 23:46:20,26.31, 104.19, 6
2024-12-23 23:46:25,26.28, 104.25, 6
2024-12-23 23:46:30,26.28, 104.19, 6
2024-12-23 23:46:35,26.31, 104.06, 7
2024-12-23 23:46:40,26.31, 104.06, 7
2024-12-23 23:46:45,26.34, 104.06, 7
2024-12-23 23:46:50,26.31, 103.81, 7
2024-12-23 23:46:55,26.34, 103.81, 5
2024-12-23 23:47:00,26.28, 103.81, 6
2024-12-23 23:47:05,26.31, 103.75, 5
2024-12-23 23:47:10,26.34, 103.87, 6
2024-12-23 23:47:15,26.31, 103.81, 6
2024-12-23 23:47:20,26.25, 103.94, 7
2024-12-23 23:47:25,26.28, 104.00, 6
2024-12-23 23:47:30,26.28, 104.19, 6
2024-12-23 23:47:35,26.22, 104.06, 6
2024-12-23 23:47:40,26.25, 104.25, 6
2024-12-23 23:47:45,26.25, 104.31, 6
2024-12-23 23:47:50,26.22, 104.44, 6
2024-12-23 23:47:55,26.22, 104.25, 6
2024-12-23 23:48:01,26.25, 104.44, 5
2024-12-23 23:48:06,26.22, 104.44, 6
2024-12-23 23:48:11,26.22, 104.25, 5
2024-12-23 23:48:16,26.25, 104.50, 6
2024-12-23 23:48:21,26.22, 104.50, 6
2024-12-23 23:48:26,26.22, 104.37, 6
2024-12-23 23:48:31,26.22, 104.12, 6
2024-12-23 23:48:36,26.19, 104.12, 6
2024-12-23 23:48:41,26.25, 104.12, 6
2024-12-23 23:48:46,26.22, 104.12, 6
2024-12-23 23:48:51,26.19, 104.25, 7
2024-12-23 23:48:56,26.22, 104.37, 6
2024-12-23 23:49:01,26.22, 104.37, 6
2024-12-23 23:49:06,26.22, 104.44, 5
2024-12-23 23:49:11,26.22, 104.44, 5
2024-12-23 23:49:16,26.22, 104.44, 6
2024-12-23 23:49:21,26.22, 104.31, 7
2024-12-23 23:49:26,26.19, 104.25, 5
2024-12-23 23:49:31,26.19, 104.31, 5
2024-12-23 23:49:37,26.19, 104.37, 5
2024-12-23 23:49:42,26.25, 104.37, 5
2024-12-23 23:49:47,26.19, 104.31, 6
2024-12-23 23:49:52,26.25, 104.12, 6
2024-12-23 23:49:57,26.22, 104.50, 6
2024-12-23 23:50:02,26.22, 104.37, 6
2024-12-23 23:50:07,26.25, 104.44, 5
2024-12-23 23:50:12,26.22, 104.44, 5
2024-12-23 23:50:17,26.22, 104.37, 5
2024-12-23 23:50:22,26.19, 104.62, 6
2024-12-23 23:50:27,26.22, 104.50, 6
2024-12-23 23:50:32,26.16, 104.37, 6
2024-12-23 23:50:37,26.16, 104.56, 6
2024-12-23 23:50:42,26.09, 104.62, 6
2024-12-23 23:50:47,26.12, 104.62, 5
2024-12-23 23:50:52,26.09, 104.62, 5
2024-12-23 23:50:57,26.12, 104.44, 6
2024-12-23 23:51:02,26.09, 104.69, 6
2024-12-23 23:51:08,26.09, 104.87, 5
2024-12-23 23:51:13,26.06, 104.87, 6
2024-12-23 23:51:18,26.12, 104.75, 7
2024-12-23 23:51:23,26.12, 104.81, 5
2024-12-23 23:51:28,26.09, 104.69, 6
2024-12-23 23:51:33,26.12, 104.56, 5
2024-12-23 23:51:38,26.12, 104.69, 6
2024-12-23 23:51:43,26.12, 104.69, 5
2024-12-23 23:51:48,26.12, 104.69, 7
2024-12-23 23:51:53,26.12, 104.75, 5
2024-12-23 23:51:58,26.09, 104.56, 6
2024-12-23 23:52:03,26.12, 104.37, 6
