sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-24 23:33:08,27.72, 90.00, 11
2024-12-24 23:33:13,27.69, 89.75, 11
2024-12-24 23:33:18,27.72, 89.37, 10
2024-12-24 23:33:23,27.75, 89.00, 10
2024-12-24 23:33:28,27.72, 88.87, 11
2024-12-24 23:33:33,27.75, 88.56, 11
2024-12-24 23:33:38,27.69, 88.44, 10
2024-12-24 23:33:43,27.69, 88.37, 10
2024-12-24 23:33:48,27.66, 88.50, 11
2024-12-24 23:33:53,27.66, 88.56, 11
2024-12-24 23:33:58,27.62, 88.56, 11
2024-12-24 23:34:03,27.66, 88.56, 11
2024-12-24 23:34:08,27.62, 88.69, 10
2024-12-24 23:34:13,27.62, 88.75, 11
2024-12-24 23:34:18,27.59, 88.75, 11
2024-12-24 23:34:23,27.59, 88.81, 11
2024-12-24 23:34:29,27.59, 88.87, 11
2024-12-24 23:34:34,27.59, 88.87, 10
2024-12-24 23:34:39,27.62, 89.06, 11
2024-12-24 23:34:44,27.56, 88.94, 10
2024-12-24 23:34:49,27.56, 88.94, 11
2024-12-24 23:34:54,27.56, 88.94, 10
2024-12-24 23:34:59,27.56, 88.87, 11
2024-12-24 23:35:04,27.56, 88.94, 11
2024-12-24 23:35:09,27.56, 88.94, 10
2024-12-24 23:35:14,27.56, 88.81, 11
2024-12-24 23:35:19,27.53, 89.00, 11
2024-12-24 23:35:24,27.53, 88.87, 11
2024-12-24 23:35:29,27.50, 88.94, 10
2024-12-24 23:35:34,27.53, 89.06, 10
2024-12-24 23:35:39,27.50, 89.31, 11
2024-12-24 23:35:44,27.50, 89.25, 11
2024-12-24 23:35:49,27.47, 88.87, 10
2024-12-24 23:35:54,27.47, 88.81, 10
2024-12-24 23:35:59,27.50, 88.75, 10
2024-12-24 23:36:04,27.50, 88.69, 10
2024-12-24 23:36:09,27.47, 88.81, 12
2024-12-24 23:36:15,27.47, 88.81, 10
2024-12-24 23:36:20,27.50, 88.69, 10
2024-12-24 23:36:25,27.47, 88.94, 11
2024-12-24 23:36:30,27.50, 88.87, 10
2024-12-24 23:36:35,27.47, 88.81, 11
2024-12-24 23:36:40,27.47, 88.75, 10
2024-12-24 23:36:45,27.44, 88.87, 12
2024-12-24 23:36:50,27.47, 89.00, 11
2024-12-24 23:36:55,27.50, 88.94, 10
2024-12-24 23:37:00,27.44, 89.06, 10
2024-12-24 23:37:05,27.47, 89.00, 10
2024-12-24 23:37:10,27.50, 89.06, 10
2024-12-24 23:37:15,27.47, 89.31, 10
2024-12-24 23:37:20,27.44, 89.19, 10
2024-12-24 23:37:25,27.50, 89.31, 10
2024-12-24 23:37:30,27.47, 89.06, 10
2024-12-24 23:37:35,27.44, 89.25, 10
2024-12-24 23:37:40,27.47, 89.44, 11
2024-12-24 23:37:45,27.44, 89.37, 11
2024-12-24 23:37:51,27.41, 89.44, 11
2024-12-24 23:37:56,27.41, 89.44, 11
2024-12-24 23:38:01,27.44, 89.25, 12
2024-12-24 23:38:06,27.44, 89.44, 11
2024-12-24 23:38:11,27.44, 89.31, 11
2024-12-24 23:38:16,27.44, 89.50, 11
2024-12-24 23:38:21,27.41, 89.69, 11
2024-12-24 23:38:26,27.44, 89.37, 11
2024-12-24 23:38:31,27.47, 89.31, 11
2024-12-24 23:38:36,27.44, 89.31, 11
2024-12-24 23:38:41,27.37, 89.31, 11
2024-12-24 23:38:46,27.44, 89.37, 11
2024-12-24 23:38:51,27.41, 89.44, 11
2024-12-24 23:38:56,27.41, 89.44, 10
2024-12-24 23:39:01,27.41, 89.50, 10
2024-12-24 23:39:06,27.41, 89.56, 11
2024-12-24 23:39:11,27.41, 89.50, 11
2024-12-24 23:39:16,27.44, 89.50, 12
2024-12-24 23:39:21,27.37, 89.44, 11
2024-12-24 23:39:26,27.44, 89.37, 11
2024-12-24 23:39:31,27.37, 89.50, 11
2024-12-24 23:39:37,27.41, 89.56, 12
2024-12-24 23:39:42,27.41, 89.44, 11
2024-12-24 23:39:47,27.41, 89.62, 12
2024-12-24 23:39:52,27.41, 89.69, 11
2024-12-24 23:39:57,27.44, 89.75, 12
2024-12-24 23:40:02,27.37, 89.81, 11
2024-12-24 23:40:07,27.41, 89.69, 11
2024-12-24 23:40:12,27.41, 89.87, 11
2024-12-24 23:40:17,27.44, 89.69, 11
2024-12-24 23:40:22,27.44, 89.75, 11
2024-12-24 23:40:27,27.44, 89.75, 11
2024-12-24 23:40:32,27.44, 89.56, 11
2024-12-24 23:40:37,27.44, 89.62, 12
2024-12-24 23:40:42,27.41, 89.62, 10
2024-12-24 23:40:47,27.47, 89.50, 10
2024-12-24 23:40:52,27.41, 89.56, 10
2024-12-24 23:40:57,27.41, 89.25, 10
2024-12-24 23:41:02,27.37, 89.50, 11
2024-12-24 23:41:07,27.41, 89.50, 11
2024-12-24 23:41:13,27.41, 89.56, 11
2024-12-24 23:41:18,27.41, 89.75, 10
2024-12-24 23:41:23,27.41, 89.81, 10
2024-12-24 23:41:28,27.41, 89.75, 11
2024-12-24 23:41:33,27.41, 89.75, 11
2024-12-24 23:41:38,27.41, 89.87, 11
2024-12-24 23:41:43,27.41, 89.87, 11
2024-12-24 23:41:48,27.37, 90.00, 11
2024-12-24 23:41:53,27.41, 89.94, 11
2024-12-24 23:41:58,27.41, 89.81, 10
2024-12-24 23:42:03,27.41, 90.06, 10
2024-12-24 23:42:08,27.41, 89.87, 11
2024-12-24 23:42:13,27.41, 89.75, 11
2024-12-24 23:42:18,27.44, 89.69, 11
2024-12-24 23:42:23,27.37, 89.50, 11
2024-12-24 23:42:28,27.41, 89.87, 10
2024-12-24 23:42:33,27.44, 89.75, 10
2024-12-24 23:42:38,27.41, 89.87, 11
2024-12-24 23:42:43,27.41, 89.75, 11
2024-12-24 23:42:48,27.41, 89.87, 10
2024-12-24 23:42:53,27.41, 89.81, 10
2024-12-24 23:42:58,27.41, 89.75, 11
2024-12-24 23:43:04,27.41, 89.75, 10
2024-12-24 23:43:09,27.41, 89.87, 10
2024-12-24 23:43:14,27.41, 89.87, 11
2024-12-24 23:43:19,27.44, 89.87, 11
2024-12-24 23:43:24,27.41, 89.87, 11
2024-12-24 23:43:29,27.44, 89.81, 11
2024-12-24 23:43:34,27.41, 89.75, 11
2024-12-24 23:43:39,27.44, 89.62, 11
2024-12-24 23:43:44,27.41, 89.44, 11
2024-12-24 23:43:49,27.44, 89.56, 11
2024-12-24 23:43:54,27.37, 89.69, 12
2024-12-24 23:43:59,27.41, 89.69, 11
2024-12-24 23:44:04,27.37, 89.62, 10
2024-12-24 23:44:09,27.37, 89.75, 10
2024-12-24 23:44:14,27.37, 89.75, 10
2024-12-24 23:44:19,27.37, 89.75, 11
2024-12-24 23:44:24,27.41, 89.69, 11
2024-12-24 23:44:29,27.37, 89.69, 10
2024-12-24 23:44:34,27.37, 89.50, 10
2024-12-24 23:44:40,27.37, 89.50, 10
2024-12-24 23:44:45,27.37, 89.44, 11
2024-12-24 23:44:50,27.37, 89.44, 11
2024-12-24 23:44:55,27.37, 89.62, 10
2024-12-24 23:45:00,27.37, 89.50, 11
2024-12-24 23:45:05,27.37, 89.44, 11
2024-12-24 23:45:10,27.41, 89.37, 11
2024-12-24 23:45:15,27.37, 89.50, 10
2024-12-24 23:45:20,27.37, 89.44, 11
2024-12-24 23:45:25,27.41, 89.44, 11
2024-12-24 23:45:30,27.37, 89.56, 10
2024-12-24 23:45:35,27.37, 89.62, 10
2024-12-24 23:45:40,27.37, 89.50, 10
2024-12-24 23:45:45,27.37, 89.25, 11
2024-12-24 23:45:50,27.37, 89.19, 10
