sep=,
Time, TEMP, HUMIDITY, SOUND(defect)
2024-12-15 23:05:41,27.00, 111.69, 50
2024-12-15 23:05:46,26.97, 111.87, 49
2024-12-15 23:05:51,26.94, 111.94, 49
2024-12-15 23:05:56,26.91, 111.44, 49
2024-12-15 23:06:01,26.87, 111.12, 48
2024-12-15 23:06:06,26.87, 111.19, 47
2024-12-15 23:06:11,26.87, 111.19, 48
2024-12-15 23:06:17,26.87, 111.25, 47
2024-12-15 23:06:22,26.87, 111.56, 46
2024-12-15 23:06:27,26.81, 111.75, 46
2024-12-15 23:06:32,26.84, 111.69, 46
2024-12-15 23:06:37,26.81, 111.81, 46
2024-12-15 23:06:42,26.84, 111.87, 46
2024-12-15 23:06:47,26.84, 111.81, 45
2024-12-15 23:06:52,26.84, 111.81, 45
2024-12-15 23:06:57,26.81, 111.69, 45
2024-12-15 23:07:02,26.78, 112.06, 46
2024-12-15 23:07:07,26.81, 112.19, 45
2024-12-15 23:07:12,26.87, 113.19, 45
2024-12-15 23:07:17,26.87, 115.75, 45
2024-12-15 23:07:22,26.91, 115.62, 44
2024-12-15 23:07:27,26.87, 115.25, 44
2024-12-15 23:07:32,26.87, 115.19, 44
2024-12-15 23:07:37,26.87, 115.87, 44
2024-12-15 23:07:42,26.91, 114.06, 45
2024-12-15 23:07:47,26.97, 114.00, 45
2024-12-15 23:07:52,26.97, 113.19, 46
2024-12-15 23:07:57,27.00, 113.12, 45
2024-12-15 23:08:03,27.03, 115.81, 45
2024-12-15 23:08:08,27.03, 113.25, 44
2024-12-15 23:08:13,26.97, 112.31, 44
2024-12-15 23:08:18,27.03, 112.00, 44
2024-12-15 23:08:23,27.03, 111.81, 45
2024-12-15 23:08:28,26.97, 111.31, 45
2024-12-15 23:08:33,26.94, 111.31, 45
2024-12-15 23:08:38,26.91, 111.31, 44
2024-12-15 23:08:43,26.91, 111.31, 45
2024-12-15 23:08:48,26.87, 111.44, 44
2024-12-15 23:08:53,26.87, 111.62, 44
2024-12-15 23:08:58,26.91, 111.56, 44
2024-12-15 23:09:03,26.84, 111.62, 45
