sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-12 23:02:37,262, 257, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:02:42,261, 258, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:02:47,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:02:52,262, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:02:57,264, 258, 0.04, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:02,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:07,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:12,263, 259, 0.02, 40, 56, 66, 31, 46, 54
2024-12-12 23:03:17,262, 257, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:03:22,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:27,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:32,263, 257, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:03:37,261, 258, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:42,261, 257, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:47,261, 259, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:52,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:03:57,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:02,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:07,264, 259, 0.04, 40, 56, 66, 31, 46, 54
2024-12-12 23:04:12,261, 258, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:17,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:22,263, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:28,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:33,262, 257, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:38,263, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:43,262, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:48,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:53,262, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:04:58,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:05:03,261, 258, 0.02, 42, 58, 67, 32, 47, 55
2024-12-12 23:05:08,263, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:05:13,262, 257, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:18,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:05:23,262, 259, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:28,261, 257, 0.02, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:33,263, 257, 0.03, 40, 55, 64, 31, 45, 53
2024-12-12 23:05:38,263, 260, 0.03, 40, 55, 64, 31, 45, 53
2024-12-12 23:05:43,262, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:48,264, 259, 0.04, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:53,262, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:05:58,262, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:03,263, 257, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:08,262, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:13,263, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:18,261, 258, 0.02, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:23,263, 259, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:06:29,261, 260, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:34,262, 258, 0.03, 42, 58, 67, 32, 47, 55
2024-12-12 23:06:39,263, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-12 23:06:44,262, 257, 0.03, 40, 55, 64, 31, 45, 53
2024-12-12 23:06:49,263, 260, 0.03, 40, 55, 64, 31, 45, 53
2024-12-12 23:06:54,261, 258, 0.02, 40, 55, 64, 31, 45, 53
