sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-20 22:19:18,262, 257, 0.03, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:23,263, 259, 0.03, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:28,262, 258, 0.03, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:33,262, 257, 0.03, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:38,261, 258, 0.02, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:43,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:19:48,263, 257, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:19:53,263, 258, 0.03, 30, 38, 41, 24, 35, 41
2024-12-20 22:19:58,262, 259, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:03,262, 259, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:08,263, 258, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:20:13,263, 258, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:20:18,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:23,262, 259, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:28,261, 258, 0.02, 33, 43, 44, 26, 38, 44
2024-12-20 22:20:33,262, 260, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:20:38,263, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:20:43,263, 258, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:20:48,264, 258, 0.04, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:53,262, 257, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:20:58,261, 257, 0.02, 31, 41, 43, 25, 37, 43
2024-12-20 22:21:03,262, 259, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:21:08,261, 257, 0.02, 31, 41, 43, 25, 37, 43
2024-12-20 22:21:13,263, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:21:18,262, 259, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:21:23,263, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:21:28,261, 258, 0.02, 31, 40, 42, 25, 36, 42
2024-12-20 22:21:33,262, 258, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:21:38,263, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:21:43,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:21:48,262, 258, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:21:53,261, 258, 0.02, 31, 40, 42, 25, 36, 42
2024-12-20 22:21:58,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-20 22:22:03,261, 259, 0.02, 31, 41, 43, 25, 37, 43
2024-12-20 22:22:08,262, 257, 0.03, 31, 41, 43, 25, 37, 43
2024-12-20 22:22:14,261, 258, 0.02, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:18,261, 257, 0.02, 31, 41, 43, 25, 37, 43
2024-12-20 22:22:23,262, 259, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:29,263, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:34,262, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:39,263, 258, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:44,263, 257, 0.03, 33, 43, 45, 26, 38, 45
2024-12-20 22:22:49,262, 259, 0.03, 33, 43, 44, 26, 38, 44
2024-12-20 22:22:54,263, 257, 0.03, 34, 45, 51, 27, 39, 46
2024-12-20 22:22:59,262, 258, 0.03, 34, 45, 51, 27, 39, 46
2024-12-20 22:23:04,263, 256, 0.03, 34, 45, 51, 27, 39, 46
2024-12-20 22:23:09,261, 257, 0.02, 34, 46, 53, 27, 40, 47
2024-12-20 22:23:14,261, 259, 0.02, 34, 45, 51, 27, 39, 46
2024-12-20 22:23:19,262, 258, 0.03, 34, 45, 51, 27, 39, 46
2024-12-20 22:23:24,262, 258, 0.03, 34, 46, 53, 27, 40, 47
2024-12-20 22:23:29,263, 258, 0.03, 34, 46, 53, 27, 40, 47
2024-12-20 22:23:34,262, 257, 0.03, 36, 48, 55, 28, 41, 48
2024-12-20 22:23:39,262, 258, 0.03, 34, 46, 53, 27, 40, 47
2024-12-20 22:23:44,262, 258, 0.03, 36, 48, 55, 28, 41, 48
