sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-24 23:33:25,262, 255, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:30,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:35,262, 259, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:40,263, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:45,262, 258, 0.02, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:50,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:33:55,263, 257, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:00,262, 259, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:05,263, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:10,263, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:15,262, 256, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:20,262, 260, 0.03, 6, 9, 9, 6, 9, 9
2024-12-24 23:34:25,260, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:30,263, 257, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:35,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:40,262, 259, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:45,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-24 23:34:50,261, 259, 0.02, 6, 9, 9, 6, 9, 9
2024-12-24 23:34:55,262, 258, 0.03, 6, 9, 9, 6, 9, 9
2024-12-24 23:35:00,262, 259, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:05,263, 260, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:10,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:15,263, 259, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:20,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:25,262, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:30,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:35,261, 259, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:40,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:45,263, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:50,262, 259, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:35:55,261, 258, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:00,264, 258, 0.04, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:06,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:10,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:15,262, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:20,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:26,261, 258, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:31,261, 259, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:36,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:41,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:46,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:51,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:36:56,261, 258, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:37:01,261, 258, 0.02, 6, 8, 8, 6, 8, 8
2024-12-24 23:37:06,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:37:11,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-24 23:37:16,263, 259, 0.03, 6, 8, 8, 6, 8, 8
