sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-14 22:51:18,262, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:23,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:28,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:33,262, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:38,261, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:43,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:48,262, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:53,263, 256, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:51:58,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:03,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:08,261, 255, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:13,261, 253, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:18,261, 255, 0.02, 14, 20, 23, 14, 20, 23
2024-12-14 22:52:23,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-14 22:52:28,262, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:33,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:38,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:43,260, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:52:48,262, 259, 0.03, 14, 20, 23, 14, 20, 23
2024-12-14 22:52:53,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-14 22:52:58,262, 259, 0.03, 14, 20, 23, 14, 20, 23
2024-12-14 22:53:03,262, 256, 0.03, 14, 20, 23, 14, 20, 23
2024-12-14 22:53:08,262, 259, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:13,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:18,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:23,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:28,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:33,264, 258, 0.04, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:38,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:43,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:48,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:53,261, 259, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:53:58,261, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:03,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:08,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:13,262, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:18,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:23,262, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:28,264, 258, 0.04, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:33,261, 258, 0.02, 13, 18, 21, 13, 18, 21
2024-12-14 22:54:38,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:43,261, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:48,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:53,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:54:58,263, 259, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:03,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:08,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:13,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:18,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:23,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:28,264, 259, 0.04, 13, 18, 21, 13, 18, 21
2024-12-14 22:55:33,262, 257, 0.03, 13, 18, 21, 13, 18, 21
2024-12-14 22:55:38,262, 259, 0.03, 13, 18, 21, 13, 18, 21
2024-12-14 22:55:43,264, 258, 0.04, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:48,263, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-14 22:55:53,263, 259, 0.03, 13, 18, 21, 13, 18, 21
2024-12-14 22:55:58,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-14 22:56:04,262, 258, 0.03, 13, 19, 22, 13, 19, 22
