sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-22 22:12:10,263, 259, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:12:15,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:12:20,263, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:12:25,262, 259, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:12:30,262, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:12:35,262, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:12:40,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:12:45,263, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:12:50,261, 258, 0.02, 16, 23, 26, 16, 23, 26
2024-12-22 22:12:55,263, 258, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:00,262, 257, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:13:05,262, 259, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:13:10,262, 258, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:15,263, 258, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:20,263, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:25,261, 258, 0.02, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:30,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:13:35,262, 256, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:13:40,263, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:45,263, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:13:50,262, 257, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:13:56,262, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:01,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:05,261, 258, 0.02, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:10,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:14:16,262, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:14:21,262, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:14:26,264, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-22 22:14:31,261, 259, 0.02, 16, 23, 26, 16, 23, 26
2024-12-22 22:14:36,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:41,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:46,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:51,263, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:14:56,261, 258, 0.02, 15, 22, 25, 15, 22, 25
2024-12-22 22:15:01,263, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-22 22:15:06,262, 256, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:15:11,262, 259, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:15:16,262, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:15:21,263, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:15:26,261, 257, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:15:31,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:15:36,262, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:15:41,263, 258, 0.04, 17, 24, 28, 17, 24, 28
2024-12-22 22:15:46,262, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:15:51,263, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:15:56,262, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:16:01,263, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:16:06,262, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:16:11,262, 259, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:16,262, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:16:21,263, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:26,262, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:31,262, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:36,262, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:41,263, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:46,262, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:51,263, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:16:56,262, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:01,261, 258, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:06,260, 258, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:11,260, 259, 0.02, 17, 24, 28, 17, 24, 28
2024-12-22 22:17:16,264, 258, 0.04, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:21,263, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:17:26,263, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:31,261, 258, 0.02, 18, 26, 30, 18, 26, 30
2024-12-22 22:17:36,263, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:41,261, 258, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:46,261, 258, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:51,261, 257, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:17:56,262, 257, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:01,263, 257, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:06,262, 258, 0.02, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:11,263, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:16,263, 257, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:21,261, 258, 0.02, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:26,262, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:31,263, 259, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:36,263, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:41,262, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:18:46,262, 258, 0.03, 19, 27, 31, 19, 27, 31
2024-12-22 22:18:51,262, 257, 0.03, 19, 27, 31, 19, 27, 31
2024-12-22 22:18:56,263, 259, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:01,260, 259, 0.02, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:06,264, 259, 0.04, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:12,262, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:17,264, 257, 0.04, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:22,263, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:27,262, 259, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:32,262, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:19:37,262, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:19:42,262, 259, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:19:47,261, 259, 0.02, 17, 25, 29, 17, 25, 29
2024-12-22 22:19:52,262, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:19:57,264, 259, 0.04, 17, 24, 28, 17, 24, 28
2024-12-22 22:20:02,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:20:07,263, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:20:12,263, 259, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:20:17,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:20:22,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:20:27,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-22 22:20:32,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-22 22:20:37,263, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:20:42,262, 257, 0.03, 17, 25, 29, 17, 25, 29
2024-12-22 22:20:47,263, 260, 0.03, 18, 26, 30, 18, 26, 30
2024-12-22 22:20:52,262, 257, 0.03, 17, 25, 29, 17, 25, 29
