sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-13 22:42:52,262, 254, 0.02, 16, 23, 27, 16, 23, 27
2024-12-13 22:42:57,260, 256, 0.02, 16, 23, 27, 16, 23, 27
2024-12-13 22:43:02,263, 257, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:43:07,263, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:12,263, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:17,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:22,262, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:27,261, 258, 0.02, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:32,261, 257, 0.02, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:37,263, 257, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:42,261, 257, 0.02, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:47,263, 258, 0.02, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:52,261, 261, 0.02, 17, 24, 28, 17, 24, 28
2024-12-13 22:43:57,263, 260, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:44:02,263, 260, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:07,263, 260, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:12,262, 261, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:17,263, 258, 0.03, 17, 24, 28, 17, 24, 28
2024-12-13 22:44:22,262, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:28,263, 258, 0.03, 16, 23, 26, 16, 23, 26
2024-12-13 22:44:33,262, 260, 0.03, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:37,264, 261, 0.04, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:43,261, 256, 0.02, 16, 23, 27, 16, 23, 27
2024-12-13 22:44:48,261, 255, 0.02, 16, 23, 26, 16, 23, 26
2024-12-13 22:44:53,261, 255, 0.02, 15, 22, 25, 15, 22, 25
2024-12-13 22:44:58,263, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:03,262, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-13 22:45:08,262, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:13,263, 260, 0.04, 16, 23, 26, 16, 23, 26
2024-12-13 22:45:18,262, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:23,262, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:28,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:33,262, 259, 0.03, 16, 23, 26, 16, 23, 26
2024-12-13 22:45:38,262, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:43,262, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:48,263, 260, 0.03, 16, 23, 26, 16, 23, 26
2024-12-13 22:45:53,262, 260, 0.02, 15, 22, 25, 15, 22, 25
2024-12-13 22:45:58,263, 260, 0.04, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:03,262, 260, 0.04, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:08,264, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:13,261, 259, 0.02, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:18,264, 259, 0.04, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:23,262, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:28,263, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:33,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:38,262, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:43,262, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:46:48,262, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:46:53,263, 258, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:46:58,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:03,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:08,264, 259, 0.04, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:13,263, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:47:18,263, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:47:23,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:28,261, 260, 0.02, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:33,262, 259, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:47:38,261, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:43,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:48,263, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:47:53,262, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:47:58,263, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:48:03,263, 259, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:48:08,262, 258, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:48:13,263, 260, 0.03, 15, 22, 25, 15, 22, 25
2024-12-13 22:48:18,263, 259, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:48:23,262, 259, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:48:28,261, 259, 0.02, 15, 22, 25, 15, 22, 25
2024-12-13 22:48:33,262, 260, 0.03, 15, 21, 24, 15, 21, 24
2024-12-13 22:48:38,263, 259, 0.03, 15, 21, 24, 15, 21, 24
