sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-18 22:12:36,263, 254, 0.03, 53, 76, 91, 39, 58, 68
2024-12-18 22:12:41,261, 255, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:12:46,261, 255, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:12:51,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:12:56,261, 257, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:01,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:06,262, 258, 0.03, 53, 76, 91, 39, 58, 68
2024-12-18 22:13:11,262, 258, 0.04, 51, 75, 89, 38, 57, 67
2024-12-18 22:13:16,262, 258, 0.03, 51, 75, 89, 38, 57, 67
2024-12-18 22:13:21,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:26,263, 258, 0.03, 51, 75, 89, 38, 57, 67
2024-12-18 22:13:31,262, 259, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:13:36,264, 259, 0.04, 51, 73, 87, 38, 56, 66
2024-12-18 22:13:41,264, 258, 0.04, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:46,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:51,260, 259, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:13:56,261, 256, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:01,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:06,261, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:12,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:16,261, 258, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:21,261, 258, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:26,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:32,263, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:37,263, 260, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:42,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:47,262, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:52,262, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:14:57,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:15:02,261, 259, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:15:07,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:15:12,261, 259, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:15:17,264, 258, 0.04, 53, 76, 92, 39, 58, 69
2024-12-18 22:15:22,262, 260, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:27,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:32,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:37,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:42,263, 257, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:47,263, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:52,263, 259, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:15:57,263, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:16:02,263, 259, 0.03, 51, 73, 87, 38, 56, 66
2024-12-18 22:16:07,262, 257, 0.03, 51, 75, 89, 38, 57, 67
2024-12-18 22:16:12,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:17,263, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:22,263, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:27,264, 257, 0.04, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:32,263, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:37,263, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:42,262, 257, 0.03, 51, 75, 89, 38, 57, 67
2024-12-18 22:16:47,263, 260, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:52,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:16:57,262, 260, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:17:02,260, 257, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:17:07,262, 257, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:12,263, 258, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:17,262, 257, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:22,264, 258, 0.04, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:27,263, 258, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:32,261, 259, 0.02, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:37,263, 258, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:17:42,263, 259, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:17:47,263, 257, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:17:52,263, 259, 0.02, 56, 81, 99, 41, 61, 73
2024-12-18 22:17:57,264, 258, 0.02, 54, 78, 94, 40, 59, 70
2024-12-18 22:18:02,262, 258, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:18:07,262, 258, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:18:12,263, 258, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:18:17,261, 258, 0.02, 54, 78, 94, 40, 59, 70
2024-12-18 22:18:22,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:27,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:32,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:37,263, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:42,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:47,263, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:52,263, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:18:57,263, 257, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:19:02,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-18 22:19:07,261, 259, 0.02, 53, 76, 92, 39, 58, 69
2024-12-18 22:19:12,262, 259, 0.03, 54, 78, 94, 40, 59, 70
2024-12-18 22:19:17,262, 258, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:19:22,264, 259, 0.04, 54, 80, 96, 40, 60, 71
2024-12-18 22:19:28,262, 258, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:19:33,261, 257, 0.02, 56, 81, 99, 41, 61, 73
2024-12-18 22:19:38,263, 258, 0.03, 56, 81, 99, 41, 61, 73
2024-12-18 22:19:43,263, 258, 0.03, 56, 81, 99, 41, 61, 73
2024-12-18 22:19:48,264, 258, 0.04, 56, 81, 99, 41, 61, 73
2024-12-18 22:19:53,263, 258, 0.03, 56, 81, 99, 41, 61, 73
2024-12-18 22:19:58,261, 257, 0.02, 54, 80, 96, 40, 60, 71
2024-12-18 22:20:03,263, 258, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:20:08,262, 258, 0.03, 54, 80, 96, 40, 60, 71
2024-12-18 22:20:13,262, 259, 0.03, 56, 81, 99, 41, 61, 73
