sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-25 22:19:18,262, 254, 0.03, 5, 7, 7, 5, 7, 7
2024-12-25 22:19:23,261, 252, 0.02, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:28,260, 253, 0.02, 5, 7, 7, 5, 7, 7
2024-12-25 22:19:33,262, 254, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:38,263, 253, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:43,262, 254, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:48,261, 252, 0.02, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:53,262, 252, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:19:58,263, 256, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:03,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:08,262, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:13,262, 259, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:18,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:23,262, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:28,261, 258, 0.02, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:33,262, 258, 0.03, 6, 9, 9, 6, 9, 9
2024-12-25 22:20:38,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:20:43,262, 257, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:48,263, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:53,262, 258, 0.03, 6, 8, 8, 6, 8, 8
2024-12-25 22:20:58,261, 259, 0.02, 6, 8, 8, 6, 8, 8
2024-12-25 22:21:03,263, 257, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:21:08,263, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:21:13,262, 257, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:21:18,262, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:21:23,263, 258, 0.02, 12, 17, 20, 12, 17, 20
2024-12-25 22:21:28,263, 257, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:21:33,264, 259, 0.04, 13, 19, 22, 13, 19, 22
2024-12-25 22:21:38,261, 259, 0.02, 12, 17, 20, 12, 17, 20
2024-12-25 22:21:43,262, 259, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:21:48,263, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-25 22:21:53,262, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-25 22:21:58,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:22:03,264, 259, 0.04, 14, 20, 23, 14, 20, 23
2024-12-25 22:22:08,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:22:13,261, 259, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:22:18,263, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:22:23,261, 259, 0.03, 11, 15, 17, 11, 15, 17
2024-12-25 22:22:28,262, 258, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:22:33,263, 258, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:22:38,263, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:22:43,263, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:22:48,262, 257, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:22:53,261, 258, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:22:58,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:03,263, 257, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:08,262, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:13,264, 258, 0.04, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:18,264, 258, 0.04, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:23,263, 258, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:28,263, 257, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:33,263, 257, 0.02, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:39,263, 256, 0.03, 7, 10, 10, 7, 10, 10
2024-12-25 22:23:44,261, 258, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:23:49,262, 257, 0.03, 10, 14, 15, 10, 14, 15
2024-12-25 22:23:54,261, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:23:59,262, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:24:04,262, 258, 0.03, 13, 18, 21, 13, 18, 21
2024-12-25 22:24:09,263, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:24:14,262, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-25 22:24:19,263, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:24:24,261, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:24:29,262, 257, 0.03, 10, 14, 15, 10, 14, 15
2024-12-25 22:24:34,262, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:24:39,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:24:44,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:24:49,261, 258, 0.02, 12, 17, 20, 12, 17, 20
2024-12-25 22:24:54,263, 257, 0.03, 15, 22, 25, 15, 22, 25
2024-12-25 22:24:59,264, 257, 0.03, 18, 26, 30, 18, 26, 30
2024-12-25 22:25:04,261, 258, 0.02, 18, 26, 30, 18, 26, 30
2024-12-25 22:25:09,261, 257, 0.02, 17, 24, 28, 17, 24, 28
2024-12-25 22:25:14,261, 259, 0.02, 15, 22, 25, 15, 22, 25
2024-12-25 22:25:19,262, 257, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:25:24,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-25 22:25:29,262, 258, 0.03, 13, 18, 21, 13, 18, 21
2024-12-25 22:25:34,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:25:39,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:25:44,262, 259, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:25:49,262, 257, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:25:54,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:25:59,262, 259, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:26:04,262, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:26:09,261, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:26:14,261, 259, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:26:19,262, 259, 0.03, 96, 151, 192, 67, 103, 125
2024-12-25 22:26:24,263, 257, 0.03, 31, 40, 42, 25, 36, 42
2024-12-25 22:26:29,261, 258, 0.02, 19, 27, 31, 19, 27, 31
2024-12-25 22:26:34,264, 258, 0.04, 27, 33, 37, 22, 32, 37
2024-12-25 22:26:39,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-25 22:26:44,263, 258, 0.02, 33, 43, 44, 26, 38, 44
2024-12-25 22:26:49,262, 258, 0.03, 31, 40, 42, 25, 36, 42
2024-12-25 22:26:54,264, 258, 0.04, 34, 46, 53, 27, 40, 47
2024-12-25 22:26:59,263, 258, 0.03, 34, 45, 51, 27, 39, 46
2024-12-25 22:27:04,261, 258, 0.02, 31, 41, 43, 25, 37, 43
2024-12-25 22:27:09,263, 258, 0.03, 30, 38, 41, 24, 35, 41
2024-12-25 22:27:14,262, 257, 0.03, 30, 38, 41, 24, 35, 41
2024-12-25 22:27:19,264, 258, 0.04, 36, 48, 55, 28, 41, 48
2024-12-25 22:27:24,262, 257, 0.02, 42, 58, 67, 32, 47, 55
2024-12-25 22:27:29,263, 258, 0.03, 40, 56, 66, 31, 46, 54
2024-12-25 22:27:34,262, 259, 0.03, 37, 51, 58, 29, 43, 50
2024-12-25 22:27:39,263, 258, 0.03, 37, 50, 57, 29, 42, 49
2024-12-25 22:27:44,262, 257, 0.03, 34, 45, 51, 27, 39, 46
2024-12-25 22:27:49,263, 259, 0.04, 33, 43, 44, 26, 38, 44
2024-12-25 22:27:54,263, 258, 0.03, 30, 38, 41, 24, 35, 41
2024-12-25 22:27:59,261, 257, 0.02, 30, 38, 41, 24, 35, 41
2024-12-25 22:28:04,262, 258, 0.03, 28, 35, 38, 23, 33, 38
2024-12-25 22:28:09,262, 258, 0.03, 27, 33, 37, 22, 32, 37
2024-12-25 22:28:14,262, 258, 0.03, 25, 31, 36, 21, 31, 36
2024-12-25 22:28:19,261, 258, 0.03, 25, 30, 35, 21, 30, 35
2024-12-25 22:28:24,262, 259, 0.03, 19, 27, 31, 19, 27, 31
2024-12-25 22:28:29,262, 257, 0.03, 18, 26, 30, 18, 26, 30
2024-12-25 22:28:34,263, 259, 0.02, 17, 25, 29, 17, 25, 29
2024-12-25 22:28:40,263, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-25 22:28:45,262, 257, 0.03, 15, 22, 25, 15, 22, 25
2024-12-25 22:28:50,262, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-25 22:28:55,264, 258, 0.04, 16, 23, 27, 16, 23, 27
2024-12-25 22:29:00,263, 258, 0.03, 15, 22, 25, 15, 22, 25
2024-12-25 22:29:05,263, 259, 0.03, 15, 21, 24, 15, 21, 24
2024-12-25 22:29:10,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:29:15,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:29:20,261, 257, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:29:25,261, 257, 0.02, 13, 19, 22, 13, 19, 22
2024-12-25 22:29:30,263, 258, 0.03, 15, 21, 24, 15, 21, 24
2024-12-25 22:29:35,262, 258, 0.03, 15, 21, 24, 15, 21, 24
2024-12-25 22:29:40,262, 259, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:29:45,261, 258, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:29:50,263, 257, 0.03, 13, 18, 21, 13, 18, 21
2024-12-25 22:29:55,262, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:00,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:05,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:10,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:15,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:20,262, 257, 0.04, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:25,262, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:30:30,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:30:35,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:30:40,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:30:45,264, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:30:50,261, 258, 0.02, 17, 24, 28, 17, 24, 28
2024-12-25 22:30:55,261, 258, 0.03, 20, 29, 34, 20, 29, 34
2024-12-25 22:31:00,263, 258, 0.03, 20, 29, 34, 20, 29, 34
2024-12-25 22:31:05,261, 258, 0.04, 19, 27, 31, 19, 27, 31
2024-12-25 22:31:10,262, 258, 0.03, 18, 26, 30, 18, 26, 30
2024-12-25 22:31:15,263, 259, 0.03, 18, 26, 30, 18, 26, 30
2024-12-25 22:31:20,261, 259, 0.02, 18, 26, 30, 18, 26, 30
2024-12-25 22:31:25,263, 257, 0.03, 16, 23, 27, 16, 23, 27
2024-12-25 22:31:30,264, 258, 0.04, 15, 22, 25, 15, 22, 25
2024-12-25 22:31:35,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:31:40,261, 259, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:31:45,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:31:50,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:31:55,261, 258, 0.02, 13, 19, 22, 13, 19, 22
2024-12-25 22:32:00,261, 258, 0.02, 12, 17, 20, 12, 17, 20
2024-12-25 22:32:05,262, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-25 22:32:10,262, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-25 22:32:15,261, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:32:20,263, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:32:25,261, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:32:30,260, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:32:35,263, 257, 0.03, 11, 15, 17, 11, 15, 17
2024-12-25 22:32:40,263, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:32:45,262, 258, 0.03, 13, 19, 22, 13, 19, 22
2024-12-25 22:32:50,261, 258, 0.02, 14, 20, 23, 14, 20, 23
2024-12-25 22:32:55,263, 257, 0.03, 16, 23, 26, 16, 23, 26
2024-12-25 22:33:00,262, 258, 0.03, 16, 23, 26, 16, 23, 26
2024-12-25 22:33:05,262, 258, 0.03, 17, 25, 29, 17, 25, 29
2024-12-25 22:33:10,263, 258, 0.03, 16, 23, 27, 16, 23, 27
2024-12-25 22:33:15,261, 258, 0.02, 15, 21, 24, 15, 21, 24
2024-12-25 22:33:20,262, 258, 0.03, 14, 20, 23, 14, 20, 23
2024-12-25 22:33:25,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-25 22:33:31,262, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-25 22:33:36,261, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-25 22:33:40,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-25 22:33:45,262, 257, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:33:51,262, 258, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:33:56,262, 257, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:01,263, 258, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:06,262, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:34:11,263, 258, 0.03, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:16,262, 259, 0.02, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:21,260, 258, 0.02, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:26,262, 258, 0.04, 10, 14, 14, 10, 14, 14
2024-12-25 22:34:31,263, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:34:36,261, 259, 0.02, 9, 13, 13, 9, 13, 13
2024-12-25 22:34:41,263, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:34:46,262, 259, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:34:51,263, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:34:56,262, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:01,261, 258, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:06,262, 259, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:11,264, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:16,262, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:35:21,263, 259, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:26,262, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:31,261, 258, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:36,261, 259, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:41,261, 257, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:46,263, 259, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:51,261, 258, 0.02, 8, 11, 11, 8, 11, 11
2024-12-25 22:35:56,263, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:36:01,262, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:36:06,262, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:36:11,263, 258, 0.03, 8, 11, 11, 8, 11, 11
2024-12-25 22:36:16,263, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:36:21,262, 258, 0.03, 9, 13, 13, 9, 13, 13
2024-12-25 22:36:26,263, 259, 0.03, 9, 13, 13, 9, 13, 13
