sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-21 22:50:00,261, 256, 0.02, 47, 66, 78, 35, 52, 61
2024-12-21 22:50:05,262, 258, 0.03, 48, 68, 80, 36, 53, 62
2024-12-21 22:50:10,263, 257, 0.02, 48, 68, 80, 36, 53, 62
2024-12-21 22:50:15,260, 257, 0.02, 48, 68, 80, 36, 53, 62
2024-12-21 22:50:20,262, 258, 0.03, 47, 66, 78, 35, 52, 61
2024-12-21 22:50:25,263, 258, 0.03, 47, 66, 78, 35, 52, 61
2024-12-21 22:50:30,264, 257, 0.03, 48, 68, 80, 36, 53, 62
2024-12-21 22:50:35,263, 259, 0.03, 47, 66, 78, 35, 52, 61
2024-12-21 22:50:40,263, 258, 0.03, 47, 66, 78, 35, 52, 61
2024-12-21 22:50:45,260, 258, 0.02, 48, 68, 82, 36, 53, 63
2024-12-21 22:50:51,263, 259, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:50:55,261, 258, 0.02, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:00,263, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:06,261, 257, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:11,263, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:16,260, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:21,262, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:26,263, 258, 0.03, 48, 68, 80, 36, 53, 62
2024-12-21 22:51:31,263, 257, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:51:36,262, 258, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:51:41,264, 259, 0.04, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:46,263, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:51,262, 257, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:51:56,263, 259, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:52:01,263, 258, 0.03, 48, 68, 82, 36, 53, 63
2024-12-21 22:52:06,263, 258, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:52:11,263, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:52:16,262, 257, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:52:21,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:52:26,263, 258, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:52:31,262, 259, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:52:36,261, 258, 0.02, 51, 75, 89, 38, 57, 67
2024-12-21 22:52:41,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:52:46,262, 258, 0.03, 53, 76, 92, 39, 58, 69
2024-12-21 22:52:51,262, 259, 0.03, 53, 76, 92, 39, 58, 69
2024-12-21 22:52:56,263, 259, 0.03, 51, 75, 89, 38, 57, 67
2024-12-21 22:53:01,262, 258, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:53:06,264, 258, 0.04, 50, 71, 85, 37, 55, 65
2024-12-21 22:53:11,263, 259, 0.03, 51, 73, 87, 38, 56, 66
2024-12-21 22:53:16,262, 258, 0.03, 50, 71, 85, 37, 55, 65
2024-12-21 22:53:21,261, 260, 0.02, 50, 71, 85, 37, 55, 65
