sep=,
Time,visible_light,IR_light,PM1.0 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM2.5 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM10 concentration(CF=1; Standard particulate matter; unit:ug/m3),PM1.0 concentration(Atmospheric environment; unit:ug/m3),PM2.5 concentration(Atmospheric environment;unit:ug/m3),PM10 concentration(Atmospheric environment;unit:ug/m3)
2024-12-16 22:20:50,263, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:20:55,261, 255, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:00,260, 255, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:05,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:10,260, 258, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:15,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:21,263, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:25,261, 257, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:21:30,262, 259, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:36,262, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:41,260, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:46,261, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:51,262, 259, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:21:56,261, 258, 0.02, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:01,263, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:06,263, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:11,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:16,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:21,263, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:26,263, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:31,262, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:36,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:41,261, 257, 0.02, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:46,265, 258, 0.04, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:51,262, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:22:56,262, 257, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:23:01,263, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:06,261, 257, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:11,261, 257, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:16,262, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:21,263, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:23:26,261, 259, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:23:31,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:23:36,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:23:41,261, 258, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:46,262, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:23:51,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:23:56,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:24:01,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:24:06,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:24:11,262, 257, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:16,261, 257, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:21,263, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:24:26,261, 259, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:31,263, 258, 0.03, 11, 16, 18, 11, 16, 18
2024-12-16 22:24:36,262, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:41,260, 258, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:46,261, 257, 0.02, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:51,263, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:24:56,262, 258, 0.03, 12, 17, 19, 12, 17, 19
2024-12-16 22:25:01,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:06,262, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:11,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:16,261, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:21,263, 257, 0.03, 13, 18, 21, 13, 18, 21
2024-12-16 22:25:26,261, 258, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:31,262, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:36,262, 259, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:41,262, 258, 0.03, 13, 18, 21, 13, 18, 21
2024-12-16 22:25:46,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:51,261, 257, 0.02, 12, 17, 20, 12, 17, 20
2024-12-16 22:25:56,262, 257, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:26:01,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:26:06,263, 258, 0.03, 12, 17, 20, 12, 17, 20
2024-12-16 22:26:11,261, 257, 0.03, 12, 17, 20, 12, 17, 20
