Time,Column1,Column2,Column3,Label
2024-12-12 23:48:25,27.47,127.69,45.0,InBed
2024-12-12 23:48:30,27.5,127.81,45.0,InBed
2024-12-12 23:48:35,27.47,127.81,45.0,InBed
2024-12-12 23:48:41,27.47,127.75,46.0,InBed
2024-12-12 23:48:46,27.47,127.81,45.0,InBed
2024-12-12 23:48:51,27.5,127.62,45.0,InBed
2024-12-12 23:48:57,27.47,127.5,46.0,InBed
2024-12-12 23:49:02,27.47,127.5,45.0,InBed
2024-12-12 23:49:07,27.5,127.44,45.0,InBed
2024-12-12 23:49:13,27.5,127.5,45.0,InBed
2024-12-12 23:49:18,27.5,127.44,45.0,InBed
2024-12-12 23:49:23,27.5,127.44,45.0,InBed
2024-12-12 23:49:28,27.47,127.56,45.0,InBed
2024-12-12 23:49:34,27.47,127.12,45.0,InBed
2024-12-12 23:49:39,27.5,127.37,45.0,InBed
2024-12-12 23:49:44,27.5,127.25,45.0,InBed
2024-12-12 23:49:50,27.5,127.19,45.0,InBed
2024-12-12 23:49:55,27.5,127.62,45.0,InBed
2024-12-12 23:50:00,27.5,127.75,45.0,InBed
2024-12-12 23:50:06,27.5,127.62,46.0,InBed
2024-12-12 23:50:11,27.47,127.81,45.0,InBed
2024-12-12 23:50:16,27.47,128.0,45.0,InBed
2024-12-12 23:50:22,27.5,127.81,45.0,InBed
2024-12-12 23:50:27,27.47,127.62,45.0,InBed
2024-12-12 23:50:32,27.5,127.69,46.0,InBed
2024-12-12 23:50:38,27.5,127.5,45.0,InBed
2024-12-12 23:50:43,27.5,127.62,45.0,InBed
2024-12-12 23:50:48,27.53,127.81,45.0,InBed
2024-12-12 23:50:53,27.5,127.56,45.0,InBed
2024-12-12 23:50:59,27.5,127.75,45.0,InBed
2024-12-12 23:51:04,27.47,127.69,46.0,InBed
2024-12-12 23:51:09,27.47,128.0,45.0,InBed
2024-12-12 23:51:15,27.53,128.0,45.0,InBed
2024-12-12 23:51:20,27.5,128.0,45.0,InBed
2024-12-12 23:51:25,27.47,127.69,45.0,InBed
2024-12-12 23:51:31,27.5,127.75,45.0,InBed
2024-12-12 23:51:36,27.5,127.75,45.0,InBed
2024-12-12 23:51:41,27.47,127.75,45.0,InBed
2024-12-12 23:51:47,27.47,127.94,45.0,InBed
2024-12-12 23:51:52,27.47,127.75,45.0,InBed
2024-12-12 23:51:57,27.47,127.62,45.0,InBed
2024-12-12 23:52:02,27.47,127.62,45.0,InBed
2024-12-12 23:52:08,27.44,127.81,45.0,InBed
2024-12-12 23:52:13,27.47,127.81,46.0,InBed
